"","condition","mean_fix_duration","se_fix_duration","mean_fix_count","se_fix_count","mean_sacc_amplitude","se_sacc_amplitude","mean_sacc_count","se_sacc_count","n"
"1","B-C",901.141568627451,16.4446339700718,21.843137254902,0.361625035943911,5.81980392156863,0.116527319784637,21,0.362745098039216,17
"2","B-V",992.406078431373,19.7372529317819,20.5686274509804,0.376958215772016,5.73294117647059,0.125105489558419,19.6862745098039,0.378593292358188,17
"3","F-C",977.745098039216,20.3487561441806,20.7254901960784,0.315576288089378,5.79901960784314,0.0996095743612552,19.8039215686275,0.318669591747937,17
"4","F-V",903.720392156863,19.7364494282445,23.5098039215686,0.4852751851654,5.34921568627451,0.131419082507362,22.6078431372549,0.48641854751823,17
