"","rowname","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"1","fix_duration",6.04107843137254,0.124101415044002,0.902780691697252,16,-97.1528631940077,109.235020056753,"Paired t-test","two.sided"
"2","fix_count",-0.911764705882353,-0.852596773745755,0.406465154460732,16,-3.17878575400479,1.35525634224008,"Paired t-test","two.sided"
"3","sacc_amp",0.202254901960784,0.628657250760515,0.538445358507468,16,-0.479772129369006,0.884281933290575,"Paired t-test","two.sided"
"4","sacc_count",-0.862745098039216,-0.793880847826222,0.438881021174566,16,-3.16653906185435,1.44104886577592,"Paired t-test","two.sided"
