"","rowname","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"1","fix_duration",-60.2619642857143,-1.46142297262968,0.167647026528893,13,-149.345043762341,28.8211151909119,"Paired t-test","two.sided"
"2","fix_count",0.517857142857143,1.31018930385376,0.212810131923812,13,-0.336036517137825,1.37175080285211,"Paired t-test","two.sided"
"3","sacc_amp",0.0692857142857143,0.1048987441957,0.91805737695188,13,-1.35763971395625,1.49621114252768,"Paired t-test","two.sided"
"4","sacc_count",0.464285714285714,1.27569879180291,0.224385970865486,13,-0.321972226249561,1.25054365482099,"Paired t-test","two.sided"
