"","rowname","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"1","fix_duration",-8.6199019607843,-0.226315149399317,0.823822189504964,16,-89.362953824238,72.1231499026694,"Paired t-test","two.sided"
"2","fix_count",-0.754901960784314,-1.01784956444497,0.32389456959848,16,-2.32715853283662,0.817354611267993,"Paired t-test","two.sided"
"3","sacc_amp",0.268333333333333,0.866285616849198,0.399138201621655,16,-0.388310669784243,0.92497733645091,"Paired t-test","two.sided"
"4","sacc_count",-0.745098039215686,-0.993082317767326,0.335452025424579,16,-2.33563817220673,0.84544209377536,"Paired t-test","two.sided"
