"","subject","IP_LABEL","IA_LABEL","trial","condition","condition_trial","motion","stimulus","session","IA_DWELL_TIME","TRIAL_DWELL_TIME","IP_DURATION","Breed","sex","neutered","age"
"44","subj.04","end_IP","end_position",3,"B-C","B-C _ 3","constant","ball",3,0,2962,3030,"Australian Shepherd","f","no",81
"45","subj.04","end_IP","end_position",1,"B-V","B-V _ 1","variable","ball",4,0,3003,3003,"Australian Shepherd","f","no",81
"46","subj.04","end_IP","end_position",2,"B-V","B-V _ 2","variable","ball",4,0,3001,3001,"Australian Shepherd","f","no",81
"47","subj.04","end_IP","end_position",3,"B-V","B-V _ 3","variable","ball",4,0,2848,3003,"Australian Shepherd","f","no",81
"48","subj.05","end_IP","end_position",1,"F-V","F-V _ 1","variable","fur",1,168,2707,3002,"Border Collie","m","no",60
"49","subj.05","end_IP","end_position",2,"F-V","F-V _ 2","variable","fur",1,0,2749,3002,"Border Collie","m","no",60
"50","subj.05","end_IP","end_position",3,"F-V","F-V _ 3","variable","fur",1,0,2723,3029,"Border Collie","m","no",60
"51","subj.05","end_IP","end_position",1,"F-C","F-C _ 1","constant","fur",2,1113,2786,3002,"Border Collie","m","no",60
"52","subj.05","end_IP","end_position",2,"F-C","F-C _ 2","constant","fur",2,0,2842,2998,"Border Collie","m","no",60
"53","subj.05","end_IP","end_position",3,"F-C","F-C _ 3","constant","fur",2,0,2844,3030,"Border Collie","m","no",60
"54","subj.05","end_IP","end_position",1,"B-C","B-C _ 1","constant","ball",3,694,2495,3002,"Border Collie","m","no",60
"55","subj.05","end_IP","end_position",2,"B-C","B-C _ 2","constant","ball",3,942,2739,3000,"Border Collie","m","no",60
"56","subj.05","end_IP","end_position",3,"B-C","B-C _ 3","constant","ball",3,0,2504,3029,"Border Collie","m","no",60
"57","subj.05","end_IP","end_position",1,"B-V","B-V _ 1","variable","ball",4,2014,2607,3029,"Border Collie","m","no",60
"58","subj.05","end_IP","end_position",2,"B-V","B-V _ 2","variable","ball",4,2111,2736,3002,"Border Collie","m","no",60
"59","subj.05","end_IP","end_position",3,"B-V","B-V _ 3","variable","ball",4,0,2782,3031,"Border Collie","m","no",60
"60","subj.06","end_IP","end_position",1,"B-C","B-C _ 1","constant","ball",1,2846,2846,3028,"Collie","m","no",21
"61","subj.06","end_IP","end_position",2,"B-C","B-C _ 2","constant","ball",1,0,3002,3002,"Collie","m","no",21
"62","subj.06","end_IP","end_position",3,"B-C","B-C _ 3","constant","ball",1,0,3030,3030,"Collie","m","no",21
"63","subj.06","end_IP","end_position",1,"B-V","B-V _ 1","variable","ball",2,0,2815,3003,"Collie","m","no",21
"64","subj.06","end_IP","end_position",2,"B-V","B-V _ 2","variable","ball",2,518,2781,3002,"Collie","m","no",21
"65","subj.06","end_IP","end_position",3,"B-V","B-V _ 3","variable","ball",2,0,2975,3000,"Collie","m","no",21
"66","subj.06","end_IP","end_position",1,"F-C","F-C _ 1","constant","fur",3,1104,2829,3001,"Collie","m","no",21
"67","subj.06","end_IP","end_position",2,"F-C","F-C _ 2","constant","fur",3,643,2852,3002,"Collie","m","no",21
"68","subj.06","end_IP","end_position",3,"F-C","F-C _ 3","constant","fur",3,0,2828,3002,"Collie","m","no",21
"69","subj.06","end_IP","end_position",1,"F-V","F-V _ 1","variable","fur",4,0,2821,3002,"Collie","m","no",21
"70","subj.06","end_IP","end_position",2,"F-V","F-V _ 2","variable","fur",4,0,2879,3030,"Collie","m","no",21
"71","subj.06","end_IP","end_position",3,"F-V","F-V _ 3","variable","fur",4,0,3003,3003,"Collie","m","no",21
"72","subj.07","end_IP","end_position",1,"B-V","B-V _ 1","variable","ball",1,240,3017,3028,"Labrador Retriever","f","yes",37
"73","subj.07","end_IP","end_position",2,"B-V","B-V _ 2","variable","ball",1,0,2968,3005,"Labrador Retriever","f","yes",37
"74","subj.07","end_IP","end_position",3,"B-V","B-V _ 3","variable","ball",1,0,3029,3029,"Labrador Retriever","f","yes",37
"75","subj.07","end_IP","end_position",1,"B-C","B-C _ 1","constant","ball",2,884,2950,3030,"Labrador Retriever","f","yes",37
"76","subj.07","end_IP","end_position",2,"B-C","B-C _ 2","constant","ball",2,0,0,3032,"Labrador Retriever","f","yes",37
"77","subj.07","end_IP","end_position",3,"B-C","B-C _ 3","constant","ball",2,0,2980,3002,"Labrador Retriever","f","yes",37
"78","subj.07","end_IP","end_position",1,"F-C","F-C _ 1","constant","fur",3,0,2998,2998,"Labrador Retriever","f","yes",37
"79","subj.07","end_IP","end_position",2,"F-C","F-C _ 2","constant","fur",3,0,2999,2999,"Labrador Retriever","f","yes",37
"80","subj.07","end_IP","end_position",3,"F-C","F-C _ 3","constant","fur",3,0,3024,3028,"Labrador Retriever","f","yes",37
"81","subj.07","end_IP","end_position",1,"F-V","F-V _ 1","variable","fur",4,0,3006,3006,"Labrador Retriever","f","yes",37
"82","subj.07","end_IP","end_position",2,"F-V","F-V _ 2","variable","fur",4,0,3007,3007,"Labrador Retriever","f","yes",37
"83","subj.07","end_IP","end_position",3,"F-V","F-V _ 3","variable","fur",4,0,3004,3004,"Labrador Retriever","f","yes",37
"84","subj.08","end_IP","end_position",1,"F-V","F-V _ 1","variable","fur",1,15,2986,3002,"Mix","f","no",25
"85","subj.08","end_IP","end_position",2,"F-V","F-V _ 2","variable","fur",1,2970,2970,3002,"Mix","f","no",25
"86","subj.08","end_IP","end_position",3,"F-V","F-V _ 3","variable","fur",1,0,0,3002,"Mix","f","no",25
"87","subj.08","end_IP","end_position",1,"F-C","F-C _ 1","constant","fur",2,0,0,3002,"Mix","f","no",25
"88","subj.08","end_IP","end_position",2,"F-C","F-C _ 2","constant","fur",2,1818,2917,3002,"Mix","f","no",25
"89","subj.08","end_IP","end_position",3,"F-C","F-C _ 3","constant","fur",2,0,3001,3001,"Mix","f","no",25
"90","subj.08","end_IP","end_position",1,"B-C","B-C _ 1","constant","ball",3,2999,2999,2999,"Mix","f","no",25
"91","subj.08","end_IP","end_position",2,"B-C","B-C _ 2","constant","ball",3,0,2977,3030,"Mix","f","no",25
"92","subj.08","end_IP","end_position",3,"B-C","B-C _ 3","constant","ball",3,932,2773,3027,"Mix","f","no",25
"93","subj.08","end_IP","end_position",1,"B-V","B-V _ 1","variable","ball",4,470,2771,3030,"Mix","f","no",25
"94","subj.08","end_IP","end_position",2,"B-V","B-V _ 2","variable","ball",4,2830,2983,3002,"Mix","f","no",25
"95","subj.08","end_IP","end_position",3,"B-V","B-V _ 3","variable","ball",4,19,2634,3001,"Mix","f","no",25
"96","subj.09","end_IP","end_position",1,"B-C","B-C _ 1","constant","ball",1,2693,2946,3003,"Australian Shepherd","m","no",54
"97","subj.09","end_IP","end_position",2,"B-C","B-C _ 2","constant","ball",1,0,2066,3001,"Australian Shepherd","m","no",54
"98","subj.09","end_IP","end_position",3,"B-C","B-C _ 3","constant","ball",1,2647,2955,3029,"Australian Shepherd","m","no",54
"99","subj.09","end_IP","end_position",1,"B-V","B-V _ 1","variable","ball",2,2301,2888,3002,"Australian Shepherd","m","no",54
"100","subj.09","end_IP","end_position",2,"B-V","B-V _ 2","variable","ball",2,292,334,2999,"Australian Shepherd","m","no",54
"101","subj.09","end_IP","end_position",3,"B-V","B-V _ 3","variable","ball",2,0,3000,3000,"Australian Shepherd","m","no",54
"102","subj.09","end_IP","end_position",1,"F-C","F-C _ 1","constant","fur",3,0,3002,3002,"Australian Shepherd","m","no",54
"103","subj.09","end_IP","end_position",2,"F-C","F-C _ 2","constant","fur",3,2385,2892,3030,"Australian Shepherd","m","no",54
"104","subj.09","end_IP","end_position",3,"F-C","F-C _ 3","constant","fur",3,1414,2863,3002,"Australian Shepherd","m","no",54
"105","subj.09","end_IP","end_position",1,"F-V","F-V _ 1","variable","fur",4,2699,2996,3031,"Australian Shepherd","m","no",54
"106","subj.09","end_IP","end_position",2,"F-V","F-V _ 2","variable","fur",4,0,3031,3031,"Australian Shepherd","m","no",54
"107","subj.09","end_IP","end_position",3,"F-V","F-V _ 3","variable","fur",4,0,2690,3032,"Australian Shepherd","m","no",54
"108","subj.10","end_IP","end_position",1,"F-V","F-V _ 1","variable","fur",1,2292,2292,3003,"Flat Coated Retriever","f","no",62
"109","subj.10","end_IP","end_position",2,"F-V","F-V _ 2","variable","fur",1,0,2592,3002,"Flat Coated Retriever","f","no",62
"110","subj.10","end_IP","end_position",3,"F-V","F-V _ 3","variable","fur",1,0,3003,3003,"Flat Coated Retriever","f","no",62
