"","subject","IP_LABEL","IA_LABEL","trial","condition","object","session","IA_DWELL_TIME","TRIAL_DWELL_TIME","IP_DURATION","Breed","sex","neutered","age"
"87","subj.07","end_ball_IP","ball_up",9,"reversed","ball",2,1018,1018,1035,"Border Collie","f","no",14
"88","subj.07","end_ball_IP","ball_down",9,"reversed","ball",2,0,1018,1035,"Border Collie","f","no",14
"89","subj.07","end_ball_IP","ball_up",10,"reversed","ball",2,0,922,1035,"Border Collie","f","no",14
"90","subj.07","end_ball_IP","ball_down",10,"reversed","ball",2,0,922,1035,"Border Collie","f","no",14
"91","subj.07","end_ball_IP","ball_up",11,"reversed","ball",2,0,975,1036,"Border Collie","f","no",14
"92","subj.07","end_ball_IP","ball_down",11,"reversed","ball",2,0,975,1036,"Border Collie","f","no",14
"93","subj.07","end_ball_IP","ball_up",12,"reversed","ball",2,833,1018,1036,"Border Collie","f","no",14
"94","subj.07","end_ball_IP","ball_down",12,"reversed","ball",2,0,1018,1036,"Border Collie","f","no",14
"95","subj.08","end_ball_IP","ball_up",9,"normal","ball",1,112,1016,1036,"Border Collie","m","yes",19
"96","subj.08","end_ball_IP","ball_down",9,"normal","ball",1,0,1016,1036,"Border Collie","m","yes",19
"97","subj.08","end_ball_IP","ball_up",10,"normal","ball",1,0,948,1037,"Border Collie","m","yes",19
"98","subj.08","end_ball_IP","ball_down",10,"normal","ball",1,0,948,1037,"Border Collie","m","yes",19
"99","subj.08","end_ball_IP","ball_up",11,"normal","ball",1,0,1024,1038,"Border Collie","m","yes",19
"100","subj.08","end_ball_IP","ball_down",11,"normal","ball",1,0,1024,1038,"Border Collie","m","yes",19
"101","subj.08","end_ball_IP","ball_up",12,"normal","ball",1,0,1035,1035,"Border Collie","m","yes",19
"102","subj.08","end_ball_IP","ball_down",12,"normal","ball",1,0,1035,1035,"Border Collie","m","yes",19
"103","subj.08","end_ball_IP","ball_up",9,"reversed","ball",2,0,1036,1036,"Border Collie","m","yes",19
"104","subj.08","end_ball_IP","ball_down",9,"reversed","ball",2,0,1036,1036,"Border Collie","m","yes",19
"105","subj.08","end_ball_IP","ball_up",10,"reversed","ball",2,0,1036,1036,"Border Collie","m","yes",19
"106","subj.08","end_ball_IP","ball_down",10,"reversed","ball",2,0,1036,1036,"Border Collie","m","yes",19
"107","subj.08","end_ball_IP","ball_up",11,"reversed","ball",2,0,1036,1036,"Border Collie","m","yes",19
"108","subj.08","end_ball_IP","ball_down",11,"reversed","ball",2,0,1036,1036,"Border Collie","m","yes",19
"109","subj.08","end_ball_IP","ball_up",12,"reversed","ball",2,0,1035,1035,"Border Collie","m","yes",19
"110","subj.08","end_ball_IP","ball_down",12,"reversed","ball",2,0,1035,1035,"Border Collie","m","yes",19
"111","subj.09","end_ball_IP","ball_up",9,"reversed","ball",1,1036,1036,1036,"Border Collie","f","no",25
"112","subj.09","end_ball_IP","ball_down",9,"reversed","ball",1,0,1036,1036,"Border Collie","f","no",25
"113","subj.09","end_ball_IP","ball_up",10,"reversed","ball",1,764,817,1038,"Border Collie","f","no",25
"114","subj.09","end_ball_IP","ball_down",10,"reversed","ball",1,0,817,1038,"Border Collie","f","no",25
"115","subj.09","end_ball_IP","ball_up",11,"reversed","ball",1,930,955,1034,"Border Collie","f","no",25
"116","subj.09","end_ball_IP","ball_down",11,"reversed","ball",1,0,955,1034,"Border Collie","f","no",25
"117","subj.09","end_ball_IP","ball_up",12,"reversed","ball",1,0,1036,1036,"Border Collie","f","no",25
"118","subj.09","end_ball_IP","ball_down",12,"reversed","ball",1,0,1036,1036,"Border Collie","f","no",25
"119","subj.09","end_ball_IP","ball_up",9,"normal","ball",2,0,1035,1035,"Border Collie","f","no",25
"120","subj.09","end_ball_IP","ball_down",9,"normal","ball",2,0,1035,1035,"Border Collie","f","no",25
"121","subj.09","end_ball_IP","ball_up",10,"normal","ball",2,0,1007,1007,"Border Collie","f","no",25
"122","subj.09","end_ball_IP","ball_down",10,"normal","ball",2,0,1007,1007,"Border Collie","f","no",25
"123","subj.09","end_ball_IP","ball_up",11,"normal","ball",2,0,1008,1008,"Border Collie","f","no",25
"124","subj.09","end_ball_IP","ball_down",11,"normal","ball",2,0,1008,1008,"Border Collie","f","no",25
"125","subj.09","end_ball_IP","ball_up",12,"normal","ball",2,0,1036,1036,"Border Collie","f","no",25
"126","subj.09","end_ball_IP","ball_down",12,"normal","ball",2,0,1036,1036,"Border Collie","f","no",25
"127","subj.10","end_ball_IP","ball_up",9,"reversed","ball",1,1036,1036,1036,"Mix","m","yes",18
"128","subj.10","end_ball_IP","ball_down",9,"reversed","ball",1,0,1036,1036,"Mix","m","yes",18
"129","subj.10","end_ball_IP","ball_up",10,"reversed","ball",1,0,1036,1036,"Mix","m","yes",18
