"","subject","IP_LABEL","IA_LABEL","trial","condition","object","session","IA_DWELL_TIME","TRIAL_DWELL_TIME","IP_DURATION","Breed","sex","neutered","age"
"51","subj.04","end_IP_cube","cube_low",1,"normal","cube",1,1035,1035,1035,"Mix","f","yes",37
"52","subj.04","end_IP_cube","cube_human",2,"normal","cube",1,0,1036,1036,"Mix","f","yes",37
"53","subj.04","end_IP_cube","cube_up",2,"normal","cube",1,0,1036,1036,"Mix","f","yes",37
"54","subj.04","end_IP_cube","cube_low",2,"normal","cube",1,1036,1036,1036,"Mix","f","yes",37
"55","subj.04","end_IP_cube","cube_human",3,"normal","cube",1,0,886,1036,"Mix","f","yes",37
"56","subj.04","end_IP_cube","cube_up",3,"normal","cube",1,0,886,1036,"Mix","f","yes",37
"57","subj.04","end_IP_cube","cube_low",3,"normal","cube",1,628,886,1036,"Mix","f","yes",37
"58","subj.04","end_IP_cube","cube_human",4,"normal","cube",1,0,1036,1036,"Mix","f","yes",37
"59","subj.04","end_IP_cube","cube_up",4,"normal","cube",1,0,1036,1036,"Mix","f","yes",37
"60","subj.04","end_IP_cube","cube_low",4,"normal","cube",1,0,1036,1036,"Mix","f","yes",37
"61","subj.04","end_IP_cube","cube_human",1,"reversed","cube",2,0,1020,1036,"Mix","f","yes",37
"62","subj.04","end_IP_cube","cube_up",1,"reversed","cube",2,1020,1020,1036,"Mix","f","yes",37
"63","subj.04","end_IP_cube","cube_low",1,"reversed","cube",2,0,1020,1036,"Mix","f","yes",37
"64","subj.04","end_IP_cube","cube_human",2,"reversed","cube",2,859,942,1035,"Mix","f","yes",37
"65","subj.04","end_IP_cube","cube_up",2,"reversed","cube",2,83,942,1035,"Mix","f","yes",37
"66","subj.04","end_IP_cube","cube_low",2,"reversed","cube",2,0,942,1035,"Mix","f","yes",37
"67","subj.04","end_IP_cube","cube_human",3,"reversed","cube",2,0,1036,1036,"Mix","f","yes",37
"68","subj.04","end_IP_cube","cube_up",3,"reversed","cube",2,0,1036,1036,"Mix","f","yes",37
"69","subj.04","end_IP_cube","cube_low",3,"reversed","cube",2,0,1036,1036,"Mix","f","yes",37
"70","subj.04","end_IP_cube","cube_human",4,"reversed","cube",2,0,1036,1036,"Mix","f","yes",37
"71","subj.04","end_IP_cube","cube_up",4,"reversed","cube",2,0,1036,1036,"Mix","f","yes",37
"72","subj.04","end_IP_cube","cube_low",4,"reversed","cube",2,0,1036,1036,"Mix","f","yes",37
"73","subj.05","end_IP_cube","cube_human",1,"reversed","cube",1,1036,1036,1036,"Labrador Retriever","f","yes",26
"74","subj.05","end_IP_cube","cube_up",1,"reversed","cube",1,0,1036,1036,"Labrador Retriever","f","yes",26
"75","subj.05","end_IP_cube","cube_low",1,"reversed","cube",1,0,1036,1036,"Labrador Retriever","f","yes",26
"76","subj.05","end_IP_cube","cube_human",2,"reversed","cube",1,377,988,1036,"Labrador Retriever","f","yes",26
"77","subj.05","end_IP_cube","cube_up",2,"reversed","cube",1,611,988,1036,"Labrador Retriever","f","yes",26
"78","subj.05","end_IP_cube","cube_low",2,"reversed","cube",1,0,988,1036,"Labrador Retriever","f","yes",26
"79","subj.05","end_IP_cube","cube_human",3,"reversed","cube",1,0,1036,1036,"Labrador Retriever","f","yes",26
"80","subj.05","end_IP_cube","cube_up",3,"reversed","cube",1,1036,1036,1036,"Labrador Retriever","f","yes",26
"81","subj.05","end_IP_cube","cube_low",3,"reversed","cube",1,0,1036,1036,"Labrador Retriever","f","yes",26
"82","subj.05","end_IP_cube","cube_human",4,"reversed","cube",1,0,1036,1036,"Labrador Retriever","f","yes",26
"83","subj.05","end_IP_cube","cube_up",4,"reversed","cube",1,1036,1036,1036,"Labrador Retriever","f","yes",26
"84","subj.05","end_IP_cube","cube_low",4,"reversed","cube",1,0,1036,1036,"Labrador Retriever","f","yes",26
"85","subj.05","end_IP_cube","cube_human",1,"normal","cube",2,0,1036,1036,"Labrador Retriever","f","yes",26
"86","subj.05","end_IP_cube","cube_up",1,"normal","cube",2,0,1036,1036,"Labrador Retriever","f","yes",26
"87","subj.05","end_IP_cube","cube_low",1,"normal","cube",2,0,1036,1036,"Labrador Retriever","f","yes",26
"88","subj.05","end_IP_cube","cube_human",2,"normal","cube",2,0,1036,1036,"Labrador Retriever","f","yes",26
"89","subj.05","end_IP_cube","cube_up",2,"normal","cube",2,0,1036,1036,"Labrador Retriever","f","yes",26
"90","subj.05","end_IP_cube","cube_low",2,"normal","cube",2,1036,1036,1036,"Labrador Retriever","f","yes",26
"91","subj.05","end_IP_cube","cube_human",3,"normal","cube",2,0,1036,1036,"Labrador Retriever","f","yes",26
"92","subj.05","end_IP_cube","cube_up",3,"normal","cube",2,0,1036,1036,"Labrador Retriever","f","yes",26
"93","subj.05","end_IP_cube","cube_low",3,"normal","cube",2,1036,1036,1036,"Labrador Retriever","f","yes",26
