"","subject","trial","condition","object","session","AVERAGE_FIXATION_DURATION","AVERAGE_SACCADE_AMPLITUDE","FIXATION_COUNT","PUPIL_SIZE_MAX","SACCADE_COUNT","Breed","sex","neutered","age"
"57","subj.09",10,"reversed","ball",1,493.12,9.39,8,2139,7,"Border Collie","f","no",25
"58","subj.09",11,"reversed","ball",1,575.43,7.9,7,2085,6,"Border Collie","f","no",25
"59","subj.09",12,"reversed","ball",1,606.57,6.7,7,1999,6,"Border Collie","f","no",25
"60","subj.09",9,"normal","ball",2,604.71,5.21,7,1955,6,"Border Collie","f","no",25
"61","subj.09",10,"normal","ball",2,871.2,3.2,5,1759,4,"Border Collie","f","no",25
"62","subj.09",11,"normal","ball",2,602,5.21,7,1892,6,"Border Collie","f","no",25
"63","subj.09",12,"normal","ball",2,580.29,5.13,7,2012,6,"Border Collie","f","no",25
"64","subj.10",9,"reversed","ball",1,459,7.72,9,3695,8,"Mix","m","yes",18
"65","subj.10",10,"reversed","ball",1,515,8.65,8,2926,7,"Mix","m","yes",18
"66","subj.10",11,"reversed","ball",1,453.44,7.46,9,3122,8,"Mix","m","yes",18
"67","subj.10",12,"reversed","ball",1,1480,6.05,3,2976,2,"Mix","m","yes",18
"68","subj.10",9,"normal","ball",2,713.33,7.01,6,6513,5,"Mix","m","yes",18
"69","subj.10",10,"normal","ball",2,863,11.32,5,5339,4,"Mix","m","yes",18
"70","subj.10",11,"normal","ball",2,840.2,15.09,5,6819,4,"Mix","m","yes",18
"71","subj.10",12,"normal","ball",2,855.8,10.88,5,5311,4,"Mix","m","yes",18
"72","subj.11",9,"reversed","ball",1,596.29,9.66,7,5637,6,"Australian Shepherd","f","no",80
"73","subj.11",10,"reversed","ball",1,854,10.91,5,5868,4,"Australian Shepherd","f","no",80
"74","subj.11",11,"reversed","ball",1,707.33,8.9,6,5593,5,"Australian Shepherd","f","no",80
"75","subj.11",12,"reversed","ball",1,855.4,10.06,5,5605,4,"Australian Shepherd","f","no",80
"76","subj.11",9,"normal","ball",2,838.6,10.97,5,9378,4,"Australian Shepherd","f","no",80
"77","subj.11",10,"normal","ball",2,577.71,13.78,7,6796,6,"Australian Shepherd","f","no",80
"78","subj.11",11,"normal","ball",2,814.8,8.4,5,6012,5,"Australian Shepherd","f","no",80
"79","subj.11",12,"normal","ball",2,1452,8.65,3,5919,2,"Australian Shepherd","f","no",80
"80","subj.01",9,"normal","ball",2,403.3,8.53,10,4148,9,"Border Collie","m","no",56
"81","subj.01",10,"normal","ball",2,505.75,9.28,8,3818,7,"Border Collie","m","no",56
"82","subj.01",11,"normal","ball",2,1081.25,9.41,4,3782,4,"Border Collie","m","no",56
"83","subj.01",12,"normal","ball",2,842.4,10.75,5,3657,4,"Border Collie","m","no",56
"84","subj.12",9,"normal","ball",1,712.17,6.23,6,4663,5,"Collie","m","no",18
"85","subj.12",10,"normal","ball",1,463.89,5.27,9,4575,8,"Collie","m","no",18
"86","subj.12",11,"normal","ball",1,520.5,6.53,8,4428,7,"Collie","m","no",18
"87","subj.12",12,"normal","ball",1,529.25,5.97,8,4579,7,"Collie","m","no",18
"88","subj.12",9,"reversed","ball",2,411.2,7.3,10,4906,9,"Collie","m","no",18
"89","subj.12",10,"reversed","ball",2,712.83,7.94,6,4836,5,"Collie","m","no",18
"90","subj.12",11,"reversed","ball",2,712.33,7.26,6,4588,5,"Collie","m","no",18
"91","subj.12",12,"reversed","ball",2,609.29,5.85,7,4808,6,"Collie","m","no",18
"92","subj.02",9,"reversed","ball",2,375.18,5.75,11,6457,10,"Labrador Retriever","f","yes",34
"93","subj.02",10,"reversed","ball",2,533.38,5.61,8,5978,8,"Labrador Retriever","f","yes",34
"94","subj.02",11,"reversed","ball",2,712.17,6.44,6,5803,5,"Labrador Retriever","f","yes",34
"95","subj.02",12,"reversed","ball",2,609.57,5.39,7,5849,6,"Labrador Retriever","f","yes",34
"96","subj.13",9,"normal","ball",1,456.11,7.71,9,3745,8,"Border Collie","f","no",16
"97","subj.13",10,"normal","ball",1,523,6.36,8,3644,7,"Border Collie","f","no",16
"98","subj.13",11,"normal","ball",1,457.33,5.42,9,3942,8,"Border Collie","f","no",16
"99","subj.13",12,"normal","ball",1,599.86,6.3,7,3824,6,"Border Collie","f","no",16
"100","subj.13",9,"reversed","ball",2,600.57,9.19,7,4079,6,"Border Collie","f","no",16
"101","subj.13",10,"reversed","ball",2,702.33,8.26,6,4500,5,"Border Collie","f","no",16
"102","subj.13",11,"reversed","ball",2,697.83,8.62,6,4096,5,"Border Collie","f","no",16
"103","subj.13",12,"reversed","ball",2,848.8,7.93,5,4085,4,"Border Collie","f","no",16
"104","subj.14",9,"reversed","ball",1,838.4,13.13,5,8079,5,"Mix","m","yes",62
"105","subj.14",10,"reversed","ball",1,676,5.98,6,7466,5,"Mix","m","yes",62
"106","subj.14",11,"reversed","ball",1,658.33,16.11,6,7420,5,"Mix","m","yes",62
"107","subj.14",9,"normal","ball",2,517.5,7.98,8,6812,7,"Mix","m","yes",62
"108","subj.14",10,"normal","ball",2,447.33,11.12,9,6857,8,"Mix","m","yes",62
"109","subj.14",11,"normal","ball",2,436.67,10.39,9,6999,9,"Mix","m","yes",62
"110","subj.14",12,"normal","ball",2,699.33,9.92,6,6741,6,"Mix","m","yes",62
