"","subject","IP_LABEL","IA_LABEL","trial","condition","object","session","IA_DWELL_TIME","TRIAL_DWELL_TIME","IP_DURATION","Breed","sex","neutered","age"
"53","subj.03","video_IP","cube_human",2,"reversed","cube",2,522,4667,5023,"Mix","f","no",20
"54","subj.03","video_IP","cube_up",2,"reversed","cube",2,1161,4667,5023,"Mix","f","no",20
"55","subj.03","video_IP","cube_low",2,"reversed","cube",2,2341,4667,5023,"Mix","f","no",20
"56","subj.03","video_IP","head_IA",2,"reversed","cube",2,522,4667,5023,"Mix","f","no",20
"57","subj.03","video_IP","cube_human",3,"reversed","cube",2,503,4575,5020,"Mix","f","no",20
"58","subj.03","video_IP","cube_up",3,"reversed","cube",2,671,4575,5020,"Mix","f","no",20
"59","subj.03","video_IP","cube_low",3,"reversed","cube",2,1979,4575,5020,"Mix","f","no",20
"60","subj.03","video_IP","head_IA",3,"reversed","cube",2,503,4575,5020,"Mix","f","no",20
"61","subj.03","video_IP","cube_human",4,"reversed","cube",2,587,4487,5016,"Mix","f","no",20
"62","subj.03","video_IP","cube_up",4,"reversed","cube",2,777,4487,5016,"Mix","f","no",20
"63","subj.03","video_IP","cube_low",4,"reversed","cube",2,1477,4487,5016,"Mix","f","no",20
"64","subj.03","video_IP","head_IA",4,"reversed","cube",2,486,4487,5016,"Mix","f","no",20
"65","subj.04","video_IP","cube_human",1,"normal","cube",1,2721,4524,5020,"Mix","f","yes",37
"66","subj.04","video_IP","cube_up",1,"normal","cube",1,0,4524,5020,"Mix","f","yes",37
"67","subj.04","video_IP","cube_low",1,"normal","cube",1,1285,4524,5020,"Mix","f","yes",37
"68","subj.04","video_IP","head_IA",1,"normal","cube",1,2058,4524,5020,"Mix","f","yes",37
"69","subj.04","video_IP","cube_human",2,"normal","cube",1,0,4672,5020,"Mix","f","yes",37
"70","subj.04","video_IP","cube_up",2,"normal","cube",1,181,4672,5020,"Mix","f","yes",37
"71","subj.04","video_IP","cube_low",2,"normal","cube",1,3253,4672,5020,"Mix","f","yes",37
"72","subj.04","video_IP","head_IA",2,"normal","cube",1,0,4672,5020,"Mix","f","yes",37
