"","subject","trial","condition","object","session","AVERAGE_FIXATION_DURATION","AVERAGE_SACCADE_AMPLITUDE","FIXATION_COUNT","PUPIL_SIZE_MAX","SACCADE_COUNT","Breed","sex","neutered","age"
"58","subj.09",6,"reversed","rope",1,466,4.79,6,2188,5,"Border Collie","f","no",25
"59","subj.09",7,"reversed","rope",1,443.5,7.12,6,2021,5,"Border Collie","f","no",25
"60","subj.09",8,"reversed","rope",1,459.83,4.36,6,2130,5,"Border Collie","f","no",25
"61","subj.09",5,"normal","rope",2,375.57,7.77,7,1837,6,"Border Collie","f","no",25
"62","subj.09",6,"normal","rope",2,975.33,4.55,3,2095,2,"Border Collie","f","no",25
"63","subj.09",7,"normal","rope",2,706.75,5.63,4,2117,3,"Border Collie","f","no",25
"64","subj.09",8,"normal","rope",2,459.17,7.8,6,1934,5,"Border Collie","f","no",25
"65","subj.10",5,"normal","rope",1,557,7.57,5,4922,4,"Mix","m","yes",18
"66","subj.10",6,"normal","rope",1,559,7.41,5,5851,4,"Mix","m","yes",18
"67","subj.10",7,"normal","rope",1,388.86,6.89,7,4085,6,"Mix","m","yes",18
"68","subj.10",8,"normal","rope",1,453.83,9.47,6,4381,5,"Mix","m","yes",18
"69","subj.10",5,"reversed","rope",2,729.75,4.32,4,8356,3,"Mix","m","yes",18
"70","subj.10",6,"reversed","rope",2,729,3.71,4,5414,3,"Mix","m","yes",18
"71","subj.10",7,"reversed","rope",2,986.67,3.93,3,4640,2,"Mix","m","yes",18
"72","subj.10",8,"reversed","rope",2,914.67,2.2,3,4168,3,"Mix","m","yes",18
"73","subj.11",5,"reversed","rope",1,1478.5,7.63,2,5574,1,"Australian Shepherd","f","no",80
"74","subj.11",6,"reversed","rope",1,467.83,5.52,6,5186,5,"Australian Shepherd","f","no",80
"75","subj.11",7,"reversed","rope",1,709.75,6.74,4,5213,3,"Australian Shepherd","f","no",80
"76","subj.11",8,"reversed","rope",1,565.2,6.89,5,5138,4,"Australian Shepherd","f","no",80
"77","subj.11",5,"normal","rope",2,466.17,6.71,6,5668,5,"Australian Shepherd","f","no",80
"78","subj.11",6,"normal","rope",2,716.5,7.29,4,5847,3,"Australian Shepherd","f","no",80
"79","subj.11",7,"normal","rope",2,712,7.63,4,5911,3,"Australian Shepherd","f","no",80
"80","subj.11",8,"normal","rope",2,706.75,8,4,5678,3,"Australian Shepherd","f","no",80
"81","subj.01",5,"reversed","rope",2,471.17,5.33,6,3804,5,"Border Collie","m","no",56
"82","subj.01",6,"reversed","rope",2,573.2,5.7,5,3570,4,"Border Collie","m","no",56
"83","subj.01",7,"reversed","rope",2,551.4,7.52,5,3486,4,"Border Collie","m","no",56
"84","subj.01",8,"reversed","rope",2,722.5,5.7,4,3497,3,"Border Collie","m","no",56
"85","subj.12",5,"reversed","rope",1,564.2,8.59,5,4509,4,"Collie","m","no",18
"86","subj.12",6,"reversed","rope",1,381.71,9.45,7,4063,6,"Collie","m","no",18
"87","subj.12",7,"reversed","rope",1,378,10.89,7,4358,6,"Collie","m","no",18
"88","subj.12",8,"reversed","rope",1,551.8,10.44,5,4391,4,"Collie","m","no",18
"89","subj.12",5,"normal","rope",2,321.75,4.87,8,5277,7,"Collie","m","no",18
"90","subj.12",6,"normal","rope",2,296.44,4.23,9,5048,8,"Collie","m","no",18
"91","subj.12",7,"normal","rope",2,448.83,7.36,6,5351,5,"Collie","m","no",18
"92","subj.12",8,"normal","rope",2,458.33,6.75,6,5743,5,"Collie","m","no",18
"93","subj.02",5,"reversed","rope",2,396.43,8.49,7,6123,6,"Labrador Retriever","f","yes",34
"94","subj.02",6,"reversed","rope",2,557,8.38,5,6881,4,"Labrador Retriever","f","yes",34
"95","subj.02",7,"reversed","rope",2,550.8,9.74,5,6113,5,"Labrador Retriever","f","yes",34
"96","subj.02",8,"reversed","rope",2,1478,7.59,2,6510,1,"Labrador Retriever","f","yes",34
"97","subj.13",5,"reversed","rope",1,346,4.18,8,4851,7,"Border Collie","f","no",16
"98","subj.13",6,"reversed","rope",1,608.5,10.6,4,5543,4,"Border Collie","f","no",16
"99","subj.13",7,"reversed","rope",1,453.33,8.99,6,6952,5,"Border Collie","f","no",16
"100","subj.13",8,"reversed","rope",1,452.17,6.94,6,5327,5,"Border Collie","f","no",16
"101","subj.13",5,"normal","rope",2,556.8,8.75,5,4346,4,"Border Collie","f","no",16
"102","subj.13",6,"normal","rope",2,548,6.99,5,4051,5,"Border Collie","f","no",16
"103","subj.13",7,"normal","rope",2,457,9.67,6,3869,5,"Border Collie","f","no",16
"104","subj.13",8,"normal","rope",2,720.25,7.01,4,4066,3,"Border Collie","f","no",16
"105","subj.14",5,"normal","rope",1,719.75,9.45,4,7414,3,"Mix","m","yes",62
"106","subj.14",6,"normal","rope",1,439.8,9.38,5,6601,5,"Mix","m","yes",62
"107","subj.14",7,"normal","rope",1,540.6,11.46,5,7014,4,"Mix","m","yes",62
"108","subj.14",8,"normal","rope",1,547.2,11.7,5,7034,4,"Mix","m","yes",62
"109","subj.14",5,"reversed","rope",2,694.25,13.54,4,6219,3,"Mix","m","yes",62
"110","subj.14",6,"reversed","rope",2,522.4,11.47,5,5962,4,"Mix","m","yes",62
"111","subj.14",7,"reversed","rope",2,781.67,13.87,3,6591,4,"Mix","m","yes",62
"112","subj.14",8,"reversed","rope",2,679.25,15.53,4,6770,3,"Mix","m","yes",62
