"","subject","trial","condition","motion","stimulus","session","AVERAGE_FIXATION_DURATION","AVERAGE_SACCADE_AMPLITUDE","FIXATION_COUNT","PUPIL_SIZE_MAX","SACCADE_COUNT","Breed","sex","neutered","age","stimuli_first","motion_first"
"47","subj.04",2,"B-V","V","B",4,1190.33,3.79,15,7586,14,"Australian Shepherd","f","no",81,"fur","constant"
"48","subj.04",3,"B-V","V","B",4,1620.73,6.68,11,6814,10,"Australian Shepherd","f","no",81,"fur","constant"
"49","subj.05",1,"F-V","V","F",1,637.5,3.76,28,6129,27,"Border Collie","m","no",60,"fur","variable"
"50","subj.05",2,"F-V","V","F",1,778,4.42,23,6891,22,"Border Collie","m","no",60,"fur","variable"
"51","subj.05",3,"F-V","V","F",1,789.27,6.6,22,6577,21,"Border Collie","m","no",60,"fur","variable"
"52","subj.05",1,"F-C","C","F",2,893.65,6.01,20,7299,19,"Border Collie","m","no",60,"fur","variable"
"53","subj.05",2,"F-C","C","F",2,938.32,8.08,19,6571,18,"Border Collie","m","no",60,"fur","variable"
"54","subj.05",3,"F-C","C","F",2,1108.5,8.71,16,7568,15,"Border Collie","m","no",60,"fur","variable"
"55","subj.05",1,"B-C","C","B",3,625.44,5.05,27,5856,26,"Border Collie","m","no",60,"fur","variable"
"56","subj.05",2,"B-C","C","B",3,814.48,5.79,21,6137,20,"Border Collie","m","no",60,"fur","variable"
"57","subj.05",3,"B-C","C","B",3,627.96,5.19,26,6726,26,"Border Collie","m","no",60,"fur","variable"
"58","subj.05",1,"B-V","V","B",4,496.76,4.88,34,5250,33,"Border Collie","m","no",60,"fur","variable"
"59","subj.05",2,"B-V","V","B",4,534.16,4.27,31,5875,31,"Border Collie","m","no",60,"fur","variable"
"60","subj.05",3,"B-V","V","B",4,820.86,4.79,21,5749,20,"Border Collie","m","no",60,"fur","variable"
"61","subj.06",1,"B-C","C","B",1,413.19,2.14,43,8517,42,"Collie","m","no",21,"ball","constant"
"62","subj.06",2,"B-C","C","B",1,593.43,2.4,30,8612,29,"Collie","m","no",21,"ball","constant"
"63","subj.06",3,"B-C","C","B",1,673.85,2.19,27,8576,26,"Collie","m","no",21,"ball","constant"
"64","subj.06",1,"B-V","V","B",2,482.56,4.35,36,5770,35,"Collie","m","no",21,"ball","constant"
"65","subj.06",2,"B-V","V","B",2,593.87,4.72,30,6109,29,"Collie","m","no",21,"ball","constant"
"66","subj.06",3,"B-V","V","B",2,721.68,4.1,25,7118,24,"Collie","m","no",21,"ball","constant"
"67","subj.06",1,"F-C","C","F",3,538.88,4.18,33,7217,32,"Collie","m","no",21,"ball","constant"
"68","subj.06",2,"F-C","C","F",3,641.14,3.39,28,7453,27,"Collie","m","no",21,"ball","constant"
"69","subj.06",3,"F-C","C","F",3,895.8,5.49,20,7769,19,"Collie","m","no",21,"ball","constant"
"70","subj.06",1,"F-V","V","F",4,503.49,3.63,35,7334,34,"Collie","m","no",21,"ball","constant"
"71","subj.06",2,"F-V","V","F",4,656.7,6.04,27,7279,26,"Collie","m","no",21,"ball","constant"
"72","subj.06",3,"F-V","V","F",4,951.05,3.13,19,7601,18,"Collie","m","no",21,"ball","constant"
"73","subj.07",1,"B-V","V","B",1,606.5,2.12,30,11615,29,"Labrador Retriever","f","yes",37,"ball","variable"
"74","subj.07",2,"B-V","V","B",1,597.5,2.36,30,11113,29,"Labrador Retriever","f","yes",37,"ball","variable"
"75","subj.07",3,"B-V","V","B",1,790.3,3.83,23,10642,22,"Labrador Retriever","f","yes",37,"ball","variable"
"76","subj.07",1,"B-C","C","B",2,716.56,4.91,25,14202,24,"Labrador Retriever","f","yes",37,"ball","variable"
"77","subj.07",2,"B-C","C","B",2,777.63,8.38,19,14218,19,"Labrador Retriever","f","yes",37,"ball","variable"
"78","subj.07",3,"B-C","C","B",2,630.5,5.18,28,14763,27,"Labrador Retriever","f","yes",37,"ball","variable"
"79","subj.07",1,"F-C","C","F",3,614.48,4.24,29,12179,28,"Labrador Retriever","f","yes",37,"ball","variable"
"80","subj.07",2,"F-C","C","F",3,1062.29,5.13,17,13363,16,"Labrador Retriever","f","yes",37,"ball","variable"
"81","subj.07",3,"F-C","C","F",3,688.92,4.04,26,12349,25,"Labrador Retriever","f","yes",37,"ball","variable"
"82","subj.07",1,"F-V","V","F",4,791,4.04,23,10850,22,"Labrador Retriever","f","yes",37,"ball","variable"
"83","subj.07",2,"F-V","V","F",4,782.7,4.87,23,11723,23,"Labrador Retriever","f","yes",37,"ball","variable"
"84","subj.07",3,"F-V","V","F",4,830.18,3.32,22,11095,21,"Labrador Retriever","f","yes",37,"ball","variable"
"85","subj.08",1,"F-V","V","F",1,463.23,1.88,39,10000,38,"Mix","f","no",25,"fur","variable"
"86","subj.08",2,"F-V","V","F",1,534.59,4.48,32,9664,31,"Mix","f","no",25,"fur","variable"
"87","subj.08",3,"F-V","V","F",1,543.3,3.32,27,7774,27,"Mix","f","no",25,"fur","variable"
"88","subj.08",1,"F-C","C","F",2,494.64,5.24,28,6827,28,"Mix","f","no",25,"fur","variable"
"89","subj.08",2,"F-C","C","F",2,639.96,6.06,27,6778,27,"Mix","f","no",25,"fur","variable"
"90","subj.08",3,"F-C","C","F",2,747.54,5.49,24,8231,23,"Mix","f","no",25,"fur","variable"
"91","subj.08",1,"B-C","C","B",3,447.29,4.32,38,6802,37,"Mix","f","no",25,"fur","variable"
"92","subj.08",2,"B-C","C","B",3,907.2,6.25,10,8931,9,"Mix","f","no",25,"fur","variable"
"93","subj.08",3,"B-C","C","B",3,651.63,5.6,27,6748,26,"Mix","f","no",25,"fur","variable"
"94","subj.08",1,"B-V","V","B",4,515.21,5.09,34,8956,33,"Mix","f","no",25,"fur","variable"
"95","subj.08",2,"B-V","V","B",4,1012.89,4.42,18,8844,17,"Mix","f","no",25,"fur","variable"
"96","subj.08",3,"B-V","V","B",4,669.15,5.61,26,4892,25,"Mix","f","no",25,"fur","variable"
"97","subj.09",1,"B-C","C","B",1,567.31,2.17,32,3041,31,"Australian Shepherd","m","no",54,"ball","constant"
"98","subj.09",2,"B-C","C","B",1,1260.43,4.79,14,4238,14,"Australian Shepherd","m","no",54,"ball","constant"
"99","subj.09",3,"B-C","C","B",1,665.27,2.98,26,3445,25,"Australian Shepherd","m","no",54,"ball","constant"
"100","subj.09",1,"B-V","V","B",2,1157.5,3.01,16,3247,15,"Australian Shepherd","m","no",54,"ball","constant"
"101","subj.09",2,"B-V","V","B",2,1451.55,5.39,11,3736,11,"Australian Shepherd","m","no",54,"ball","constant"
"102","subj.09",3,"B-V","V","B",2,2320.25,3.89,8,3486,7,"Australian Shepherd","m","no",54,"ball","constant"
"103","subj.09",1,"F-C","C","F",3,1598.64,8.17,11,4044,10,"Australian Shepherd","m","no",54,"ball","constant"
"104","subj.09",2,"F-C","C","F",3,1201.67,4.21,15,2853,14,"Australian Shepherd","m","no",54,"ball","constant"
"105","subj.09",3,"F-C","C","F",3,2635.57,5.8,7,4300,6,"Australian Shepherd","m","no",54,"ball","constant"
"106","subj.09",1,"F-V","V","F",4,1485.33,4.62,12,3411,11,"Australian Shepherd","m","no",54,"ball","constant"
"107","subj.09",2,"F-V","V","F",4,2628.29,8.06,7,3500,6,"Australian Shepherd","m","no",54,"ball","constant"
"108","subj.09",3,"F-V","V","F",4,689.21,3.98,24,3641,23,"Australian Shepherd","m","no",54,"ball","constant"
"109","subj.10",1,"F-V","V","F",1,519.33,2.54,30,5058,30,"Flat Coated Retriever","f","no",62,"fur","variable"
"110","subj.10",2,"F-V","V","F",1,878.35,4.37,20,5673,19,"Flat Coated Retriever","f","no",62,"fur","variable"
"111","subj.10",3,"F-V","V","F",1,1437.42,5.71,12,5876,11,"Flat Coated Retriever","f","no",62,"fur","variable"
"112","subj.10",1,"F-C","C","F",2,963.5,4.34,18,6902,17,"Flat Coated Retriever","f","no",62,"fur","variable"
